,C_IO_L3_in_data_pack_inter,C_IO_L3_in_data_pack_intra,C_IO_L3_in_ele_size
31,16.0,4.0,4.0
29,16.0,16.0,4.0
20,,,
39,16.0,16.0,4.0
2,16.0,4.0,4.0
41,16.0,16.0,4.0
18,,,
15,16.0,1.0,4.0
22,,,
16,16.0,1.0,4.0
38,16.0,16.0,4.0
8,16.0,4.0,4.0
13,16.0,8.0,4.0
5,16.0,8.0,4.0
17,16.0,1.0,4.0
32,16.0,4.0,4.0
14,16.0,8.0,4.0
35,16.0,16.0,4.0
7,16.0,4.0,4.0
34,16.0,16.0,4.0
1,16.0,4.0,4.0
26,16.0,8.0,4.0
12,16.0,8.0,4.0
33,16.0,16.0,4.0
24,16.0,8.0,4.0
6,16.0,4.0,4.0
23,,,
21,,,
19,,,
9,16.0,16.0,4.0
40,16.0,16.0,4.0
3,16.0,8.0,4.0
0,16.0,4.0,4.0
